original,new
SRR13483412,0h_no_dox_1
SRR13483413,0h_no_dox_2
SRR13483414,12h_no_dox_3
SRR13483415,12h_no_dox_4
SRR13483416,12h_is_dox_5
SRR13483417,12h_is_dox_6
SRR13483418,24h_no_dox_7
SRR13483419,24h_no_dox_8
SRR13483420,24h_is_dox_9
SRR13483421,24h_is_dox_10
SRR13483422,0h_no_dox_11
SRR13483423,0h_no_dox_12
SRR13483424,24h_is_dox_13
SRR13483425,24h_is_dox_14
SRR13483428,24h_no_dox_15
SRR13483429,24h_no_dox_16
SRR13483430,24h_is_dox_17
SRR13483431,24h_is_dox_18
SRR13483436,24h_is_dox_19
SRR13483437,24h_is_dox_20
